Block,Treatment,Plant,ERM,Natal Fluid,Placenta,Solution atm%,gN in solution,Sping.pH,Fall.pH,Spring Net N Min,Fall Net N Min,Fall Net N Min Log,Spring Net NO3,Fall Net NO3,Spring Net NH4,Fall Net NH4,Fall Net NH4 Log,Spring SIR CO2/Hour,Fall SIR CO2/Hour,Spring CMin CO2/Hour,Fall CMin CO2/Hour,Spring Leaf d15N,Fall Leaf d15N,Spring Leaf d13C,Fall Leaf d13C,Spring Leaf PrecN,Fall Leaf PrecN,Spring Leaf PrecC,Fall Leaf PrecC,Spring Leaf C:N,Fall Leaf C:N,Spring Leaf N Stock g.m2,Fall Leaf N Stock g.m2,Spring Leaf C Stock g.m2,Fall Leaf C Stock g.m2,Spring.Leaf.15N.at.Prec,Fall Leaf.15N.at.Prec,Mass Solution Rec Leaf,Prec Solution Rec Leaf,Spring Stem d15N,Fall Stem d15N,Spring Stem d13C,Fall Stem d13C,Spring Stem PrecN,Fall Stem PrecN,Spring Stem PrecC,Fall Stem PrecC,Spring Stem C:N,Fall Stem C:N,Spring Stem N Stock g.m2,Fall Stem N Stock g.m2,Spring Stem C Stock g.m2,Fall Stem C Stock g.m2,Spring.Stem.15N.at.Prec,Fall Stem.15N.at.Prec,Mass Solution Rec Stem,Prec Solution Rec Stem,Spring FineRoot d15N,Fall FineRoot d15N,Spring FineRoot d13C,Fall FineRoot d13C,Spring FineRoot PrecN,Fall FineRoot PrecN,Spring FineRoot PrecC,Fall FineRoot PrecC,Spring FineRoot C:N,Fall FineRoot C:N,Spring FineRoot N Stock g.m2,Fall FineRoot N Stock g.m2,Spring FineRoot C Stock g.m2,Fall FineRoot C Stock g.m2,Spring.FineRoot.15N.at.Prec,Fall FineRoot.15N.at.Prec,Mass Solution Rec FineRoot,Prec Solution Rec FineRoot,Spring CoarseRoot d15N,Fall CoarseRoot d15N,Spring CoarseRoot d13C,Fall CoarseRoot d13C,Spring CoarseRoot PrecN,Fall CoarseRoot PrecN,Spring CoarseRoot PrecC,Fall CoarseRoot PrecC,Spring CoarseRoot C:N,Fall CoarseRoot C:N,Spring CoarseRoot N Stock g.m2,Fall CoarseRoot N Stock g.m2,Spring CoarseRoot C Stock g.m2,Fall CoarseRoot C Stock g.m2,Spring.CoarseRoot.15N.at.Prec,Fall CoarseRoot.15N.at.Prec,Mass Solution Rec CoarseRoot,Prec Solution Rec CoarseRoot,Spring MAOM d15N,Fall MAOM d15N,Spring MAOM d13C,Fall MAOM d13C,Spring MAOM PrecN,Fall MAOM PrecN,Spring MAOM PrecC,Fall MAOM PrecC,Spring MAOM C:N,Fall MAOM C:N,Spring MAOM N Stock g.m2,Fall MAOM N Stock g.m2,Spring MAOM C Stock g.m2,Fall MAOM C Stock g.m2,Spring.MAOM.15N.at.Prec,Fall MAOM.15N.at.Prec,Mass Solution Rec MAOM,Prec Solution Rec MAOM,Spring POM d15N,Fall POM d15N,Spring POM d13C,Fall POM d13C,Spring POM PrecN,Fall POM PrecN,Spring POM PrecC,Fall POM PrecC,Spring POM C:N,Fall POM C:N,Spring POM N Stock g.m2,Fall POM N Stock g.m2,Spring POM C Stock g.m2,Fall POM C Stock g.m2,Spring.POM.15N.at.Prec,Fall POM.15N.at.Prec,Mass Solution Rec POM,Prec Solution Rec POM,Spring Total N Stock g.m2,Fall Total N Stock g.m2,Spring Total C Stock g.m2,Fall Total C Stock g.m2,Foliar.Biomass g.m2,Foliar.Biomass g/plot,Stem.Biomass g.m2,Stem.Biomass g/plot,FineRoot.BiomassBD g.m2,FineRoot.BiomassBD g/plot,CoarseRoot.Biomass.BD g.m2,CoarseRoot.Biomass.BD g/plot,MAOM.Mass.Spring g.m2,MAOM.Mass.Spring g/plot,MAOM.Mass.Fall g.m2,MAOM.Mass.Fall g/plot,POM.Mass.Sprin.g.m2,POM.Mass.Sprin.g./plot,POM.Mass.Fallg.m2,POM.Mass.Fall g/plot,Total Eco N Recovery,Prec Eco N Recovery,Total Eco C,Total Eco N,
B2,NF,ErM,1.0000,1.0000,0.0000,5.0000,7.6620,4.4000,4.7300,0.6247,0.7441,1.7441,-0.0150,0.0230,0.6400,0.7210,1.7210,6.6983,7.7573,437.9761,439.4799,-2.8507,1434.4393,-31.2597,-31.6646,0.8236,1.2093,46.9449,46.8533,56.9968,38.7446,1.9207,2.8201,109.4754,109.2620,0.365558,0.8871,0.0793,1.0355,-3.2752,851.1759,-31.0112,-30.1455,0.4427,0.4998,48.6210,54.4317,109.8363,108.9006,3.1730,3.5828,348.5152,390.1664,0.365402,0.6762,0.0601,0.7840,-0.3471,3434.8068,-30.3336,-29.8787,0.7868,0.9031,52.1620,52.3248,66.2934,57.9412,2.0558,2.3594,136.2829,136.7085,0.366475,1.6036,0.1575,2.0554,-1.0922,574.0533,-30.4079,-29.2023,0.8731,0.7590,48.4165,49.6569,55.4537,65.4247,1.2337,1.0725,68.4158,70.1686,0.366104,0.5766,0.0122,0.1590,3.0475,269.6058,-27.8913,-27.2353,0.4153,0.4500,8.7381,9.7481,21.0393,21.6616,139.3232215,129.263385,2918.501461,2786.220245,0.367631,0.4654,0.6820,8.9007,-0.2171,347.8629,-28.5891,-28.4173,0.1241,0.11298,3.31008,3.08311,26.66408,27.2886,65.60907359,65.17042969,1744.078805,1787.861346,0.366414,0.4940,0.4486457,5.8554746,204.93230,194.4338147,4662.58027,4574.081591,233.20000,58.30000,716.80000,179.20000,261.26875,65.31719,141.30696,35.32674,33545.9938,8386.49845,28723.92005,7180.980013,52850.87288,13212.71822,57672.94663,14418.23666,1.439685833,18.7899796,5280.3870591,204.2686,
B2,P,ErM,1.0000,1.0000,1.0000,5.0000,7.6620,0.1917,4.6700,0.1999,1.1931,2.1931,-0.0200,0.0390,0.2200,1.1540,2.1540,10.7258,9.7693,561.3827,706.3905,-4.1772,1931.4768,-32.1993,-31.7852,1.0068,1.4300,47.4383,48.6006,47.1160,33.9869,9.2710,13.1672,436.8115,447.5139,0.365072,1.0661,0.4979,6.4979,-3.9858,1349.2379,-32.8472,-30.0085,0.4345,0.4890,48.5162,51.4108,111.6715,105.1318,11.3480,12.7730,1267.2423,1342.8498,0.365142,0.8563,0.3384,4.4168,-1.2311,1477.0610,-29.5563,-29.4126,0.7537,0.8948,47.7604,51.9187,63.3718,58.0204,1.2335,1.4646,78.1717,84.9780,0.366151,0.9025,0.0424,0.5531,-1.4716,571.0375,-28.7064,-28.7348,0.5393,0.7614,45.8986,46.8402,85.1080,61.5203,0.3897,0.5501,33.1643,33.8447,0.365964,0.5755,0.0062,0.0812,2.4019,355.5445,-28.0668,-27.5550,0.5288,0.6603,11.3023,15.7753,21.3750,23.8916,98.56046033,111.7671372,2106.311373,2674.462385,0.367394,0.4968,0.7803,10.1844,0.4013,306.9071,-28.5891,-27.8507,0.4855,0.34729,12.05609,9.93498,24.83452,28.6073,138.9318967,105.3414905,3462.851625,3002.823946,0.36664,0.4791,0.6389648,8.3394140,237.49236,217.1086277,5569.16300,5677.286331,920.80000,230.20000,2612.00000,653.00000,163.67494,40.91874,72.25562,18.06391,18639.92366,4659.98092,16926.97712,4231.74428,28618.60847,7154.652118,30331.55501,7582.888753,2.304178333,30.07285539,7586.4726661,245.0636,
B3,C,EcM,0.0000,0.0000,0.0000,98.0000,0.0750,4.1300,4.6600,0.6338,1.1919,2.1919,-0.0040,0.0240,0.6370,1.1670,2.1670,8.1810,10.0583,468.9008,744.6376,-3.8752,867.6419,-30.6118,-32.0387,1.5817,1.7626,44.2934,47.0187,28.0045,26.6761,1.7588,1.9600,49.2543,52.2848,0.365182,0.6822,0.0016,2.1212,-3.8991,712.3762,-31.1858,-31.0471,0.4597,0.6485,47.9023,50.5297,104.2075,77.9197,1.0830,1.5278,112.8578,119.0479,0.365173,0.6259,0.0010,1.3600,5.9127,1662.1179,-29.2010,-28.4098,1.1113,0.9904,46.4145,50.2737,41.7648,50.7598,0.4386,0.3909,18.3200,19.8432,0.368768,0.9692,0.0006,0.8013,1.5813,167.4887,-28.3064,-28.3122,0.6612,0.6478,41.4509,46.1303,62.6861,71.2062,0.3477,0.3407,21.7967,24.2573,0.367087,0.4281,0.0001,0.0709,4.1745,114.6578,-26.8623,-27.3409,0.5948,0.7304,10.6727,15.5999,17.9426,21.3589,136.2018813,173.4287807,2450.044769,3704.271779,0.368045,0.4088,0.0181,24.1086,0.3544,189.3480,-28.5162,-28.3908,0.1782,0.27372,4.25622,6.94113,23.88338,25.3585,51.43052518,76.66826508,1240.958747,1932.813405,0.366623,0.4361,0.0136348,18.1797434,187.63241,250.0970458,3691.00352,5637.085184,111.20000,27.80000,235.60000,58.90000,39.47043,9.86761,52.58427,13.14607,22897.61466,5724.40367,23745.33192,5936.33298,28859.50574,7214.876435,28011.78849,7002.947123,0.034981377,46.64183624,5852.5183544,254.3164,
B3,NF,EcM,0.0000,1.0000,0.0000,5.0000,7.6620,4.9200,4.7000,1.9387,3.2713,4.2713,0.0630,2.4320,1.8760,0.8400,1.8400,8.8638,11.1732,222.5737,912.9413,-2.6015,2637.0718,-31.3737,-32.2564,2.0055,2.1740,46.0846,47.5662,22.9789,21.8798,2.5590,2.7740,58.8040,60.6944,0.365649,1.3191,0.1427,1.8621,-2.7889,2311.8922,-30.3828,-30.9643,0.5736,0.7205,47.0826,52.0121,82.0885,72.1840,3.7350,4.6922,306.6022,338.7031,0.36558,1.2026,0.2119,2.7653,0.4997,2663.1865,-29.8648,-29.7479,1.1354,1.2297,46.0476,49.7933,40.5574,40.4926,1.4557,1.5767,59.0400,63.8426,0.366689,1.3284,0.0818,1.0678,-0.7079,2029.8421,-31.1808,-29.4871,1.0958,1.1520,44.7634,47.6924,40.8489,41.4009,0.6499,0.6832,26.5497,28.2869,0.366245,1.1049,0.0272,0.3554,4.1526,414.2779,-27.7241,-27.8296,0.9379,0.9139,17.0824,19.0076,18.2134,20.7978,187.2892328,155.3407238,3414.698667,3229.466203,0.368036,0.5182,1.2590,16.4322,0.2976,452.7199,-28.7278,-28.7154,0.3856,0.26172,9.06454,6.39913,23.50530,24.4506,85.83464759,66.02565734,2025.451958,1614.689366,0.366602,0.5323,0.5904480,7.7061986,273.12388,221.3663811,5440.15063,4844.155569,127.60000,31.90000,651.20000,162.80000,128.21522,32.05381,59.31115,14.82779,19968.99806,4992.24952,16997.19054,4249.297635,22257.71382,5564.428455,25229.52134,6307.380335,2.313077464,30.1890019,5335.6825848,231.0925,
B3,P,EcM,0.0000,1.0000,1.0000,5.0000,7.6620,4.6300,5.3500,0.9340,1.9011,2.9011,0.1330,0.1930,0.8010,1.7080,2.7080,6.3141,8.8207,339.3863,781.8350,-3.5573,1109.0924,-29.9762,-32.2677,1.7910,2.2604,45.6704,48.0788,25.5003,21.2697,4.9431,6.2388,126.0504,132.6976,0.365299,0.7696,0.1360,1.7756,-4.1194,2806.8295,-30.4660,-31.1504,0.6809,0.6190,46.5613,51.1012,68.3775,82.5542,5.2106,4.7366,356.2869,391.0265,0.365093,1.3798,0.2592,3.3833,-0.0494,2995.1484,-29.0689,-31.2373,0.9162,1.2154,44.9216,50.4437,49.0292,41.5027,0.7606,1.0090,37.2918,41.8759,0.366487,1.4470,0.0588,0.7677,-1.1300,2574.9241,-27.5314,-28.6368,0.9301,0.7801,44.4906,49.2077,47.8367,63.0782,0.5516,0.4627,26.3879,29.1857,0.36609,1.3013,0.0233,0.3047,3.4464,324.5441,-27.5949,-26.4228,0.7343,0.5960,15.5491,12.4459,21.1751,20.8806,189.2959529,137.3240169,3995.706541,2856.837194,0.367777,0.4855,0.8721,11.3826,0.9100,617.4269,-28.0397,-27.9079,0.3788,0.25144,9.67450,8.14490,25.53799,32.3935,112.6522635,81.64625555,2884.47841,2630.607279,0.366826,0.5924,0.9940780,12.9741539,301.94822,218.9702725,6880.18495,5487.444473,276.00000,69.00000,765.20000,191.30000,83.01522,20.75380,59.31115,14.82779,25778.75188,6444.68797,23039.00963,5759.752408,29736.89082,7434.222705,32476.63307,8119.158268,2.343651919,30.58804271,6082.2301366,231.4174,
B3,C,ErM,1.0000,0.0000,0.0000,98.0000,0.0750,4.6400,4.5500,0.1581,0.9823,1.9823,-0.0150,0.0170,0.1730,0.9650,1.9650,6.0791,9.4600,249.5250,698.2729,-5.2147,347.4061,-30.9989,-31.7014,0.7497,1.1013,48.1051,48.8040,64.1681,44.3154,4.6960,6.8985,301.3304,305.7080,0.364692,0.4934,0.0023,3.0303,-3.2493,388.0248,-29.5296,-29.4739,0.3720,0.3166,48.1878,53.7280,129.5390,169.7250,7.1185,6.0577,922.1211,1028.1394,0.365412,0.5081,0.0022,2.9515,0.7818,566.1752,-28.8192,-28.5907,0.7362,0.8916,41.1692,51.9902,55.9222,58.3121,0.8830,1.0694,49.3780,62.3566,0.366793,0.5728,0.0006,0.7523,-0.1925,1215.1691,-29.5169,-28.5061,0.7824,0.7537,46.8458,44.8141,59.8723,59.4573,1.6456,1.5852,98.5242,94.2511,0.366435,0.8100,0.0018,2.4004,4.7127,124.0368,-27.6123,-27.2968,0.6345,0.5897,13.5867,13.2722,21.4128,22.5063,122.3490941,105.3493047,2622.413641,2375.991169,0.368242,0.4122,0.0119,15.8077,1.7248,167.1060,-28.5624,-28.4837,0.2843,0.32951,7.29949,10.20699,25.67289,30.9760,63.61313488,78.39085851,1633.228589,2426.66694,0.367125,0.4279,0.0122064,16.2751967,185.96223,183.7401632,4255.64223,4802.658109,626.40000,156.60000,1913.60000,478.40000,119.93917,29.98479,210.31585,52.57896,19282.45324,4820.61331,17864.59525,4466.148813,22372.99437,5593.248593,23790.85236,5947.71309,0.030913019,41.21735857,6293.1132700,199.3509,
B3,NF,ErM,1.0000,1.0000,0.0000,5.0000,7.6620,4.7200,5.0900,0.7460,-0.0373,0.9627,-0.0020,0.0260,0.7470,-0.0630,0.9370,7.8795,8.8245,404.0172,679.3422,-4.9416,815.3705,-30.6180,-31.7780,0.8155,1.1557,48.6311,48.7530,59.6335,42.1857,5.4769,7.7615,326.6063,327.4255,0.364792,0.6632,0.1249,1.6306,-5.8724,768.7207,-29.8571,-29.8675,0.4616,0.4608,48.8550,51.4011,105.8358,111.5392,7.4246,7.4121,785.7841,826.7361,0.364451,0.6463,0.1127,1.4706,-2.2055,2473.4745,-29.2913,-30.2609,0.7472,0.8323,42.4390,49.9960,56.7940,60.0690,1.3501,1.5038,76.6757,90.3291,0.365694,1.2648,0.0729,0.9519,-3.5939,1342.7734,-28.5780,-28.8655,0.9752,0.5666,41.2407,51.6224,42.2905,91.1058,3.2154,1.8683,135.9801,170.2110,0.365184,0.8563,0.0495,0.6459,3.1181,262.1094,-27.7292,-27.5017,0.5018,0.5441,9.6092,10.8071,19.1490,19.8617,139.8849474,140.2832864,2676.103495,2784.421623,0.367657,0.4627,0.7192,9.3864,-0.1772,282.9121,-28.3488,-28.3908,0.1260,0.24828,3.36062,6.69149,26.67588,26.9518,47.65426401,99.12445157,1286.112856,2674.723421,0.366429,0.4703,0.5554068,7.2488608,187.53921,239.407738,3962.21635,5459.145044,671.60000,167.90000,1608.40000,402.10000,180.67269,45.16817,329.72330,82.43083,27876.07807,6969.01952,25781.68169,6445.420423,37826.84871,9456.712178,39921.24509,9980.311273,1.634627144,21.33424528,6873.8467296,257.9534,
B3,P,ErM,1.0000,1.0000,1.0000,5.0000,7.6620,4.5900,4.8200,0.2465,0.5998,1.5998,-0.0130,0.0250,0.2600,0.5750,1.5750,9.7875,10.4589,427.3999,492.7106,-2.8068,908.3116,-31.6540,-32.4854,0.8887,1.2275,48.5415,48.5254,54.6200,39.5311,3.9672,5.4797,216.6892,216.6173,0.365574,0.6969,0.0979,1.2783,-4.8429,404.1433,-30.1949,-30.6464,0.4736,0.4966,48.1390,49.9670,101.6486,100.6210,5.3970,5.6591,548.5922,569.4237,0.364828,0.5140,0.0455,0.5942,1.0897,2829.4130,-29.3415,-29.2717,0.7218,0.7908,47.0973,42.8127,65.2453,54.1389,1.4866,1.6286,96.9952,88.1712,0.366906,1.3927,0.0901,1.1765,-0.3633,760.6524,-29.2391,-29.2432,0.4328,0.6021,43.6453,45.8309,100.8359,76.1190,1.0515,1.4627,106.0284,111.3378,0.366371,0.6446,0.0220,0.2866,4.3934,374.8582,-27.3784,-27.0448,0.2967,0.4017,6.4170,9.5257,21.6292,23.7130,81.47587044,105.4067306,1757.602706,2492.753332,0.368125,0.5038,0.7720,10.0755,0.8571,421.4455,-28.4659,-27.8946,0.1701,0.46414,4.44394,13.20287,26.12500,28.4461,63.05330488,177.7104243,1631.008474,5054.465848,0.366807,0.5209,1.4778189,19.2876713,144.52918,283.1171549,3388.61118,7547.21918,446.40000,111.60000,1139.60000,284.90000,205.94650,51.48662,242.93168,60.73292,27462.54228,6865.63557,26239.50875,6559.877188,37068.37442,9267.093605,38291.40794,9572.851985,2.505375459,32.6987685,8532.7691086,297.3472,
B4,C,EcM,0.0000,0.0000,0.0000,98.0000,0.0750,4.9500,5.4500,0.4202,0.6142,1.6142,0.0260,0.0950,0.3940,0.5190,1.5190,4.0714,5.1976,173.3962,389.4098,-2.5447,204.0776,-31.3984,-31.2986,1.7582,2.0555,46.2418,48.9508,26.3007,23.8146,5.6684,6.6269,149.0836,157.8174,0.36567,0.4412,0.0013,1.7090,0.5957,574.5730,-30.5235,-30.0157,0.3353,0.4774,49.6163,50.1979,147.9729,105.1431,4.9853,7.0983,737.6956,746.3419,0.36682,0.5759,0.0038,5.0669,0.5802,1869.8023,-29.1117,-30.6039,0.6352,0.6779,46.5744,45.0887,73.3191,66.5119,0.5318,0.5675,38.9900,37.7463,0.366718,1.0471,0.0010,1.3183,-2.9196,190.0376,-32.0028,-28.0590,1.3045,0.5277,43.8075,44.1240,33.5823,83.6101,0.3853,0.1559,12.9402,13.0337,0.365432,0.4363,0.0000,0.0377,3.8582,252.8191,-26.7772,-26.8378,0.2000,0.2474,3.7902,6.2014,18.9542,25.0687,76.73796883,91.36302776,1458.240144,2289.89276,0.367928,0.4593,0.0214,28.4890,4.2631,406.1491,-28.3098,-28.8175,0.0471,0.04697,1.57850,2.12131,33.50201,45.1640,24.13596199,24.75175882,819.5572833,1105.929649,0.368054,0.5153,0.0093279,12.4371555,100.87393,116.1147866,2277.79743,3395.822409,322.40000,80.60000,1486.80000,371.70000,83.71550,20.92888,29.53886,7.38472,38374.74063,9593.68516,36933.7542,9233.43855,51222.3302,12805.58255,52663.31663,13165.82916,0.036793576,49.05810083,4350.7617915,130.5635,
B4,NF,EcM,0.0000,1.0000,0.0000,5.0000,7.6620,4.9000,4.7500,2.2058,0.8241,1.8241,0.6060,0.0310,1.6000,0.7930,1.7930,6.9902,9.9758,394.9902,864.5070,-4.5449,593.4567,-33.5803,-35.1422,1.8090,2.6031,44.9849,46.1892,24.8668,17.7442,0.5499,0.7913,13.6754,14.0415,0.364937,0.5828,0.0093,0.1213,-5.0064,1638.6472,-30.5256,-30.5708,0.4766,0.6893,47.8185,50.4850,100.3288,73.2408,1.6758,2.4236,168.1298,177.5052,0.364768,0.9607,0.0779,1.0167,-1.9433,2767.0216,-29.3812,-29.3626,0.9046,1.0052,42.7182,46.2364,47.2224,45.9981,2.4792,2.7548,117.0755,126.7177,0.365791,1.3703,0.1493,1.9483,-2.3267,1460.9734,-30.3640,-28.8113,0.8774,0.9827,46.2352,53.0943,52.6936,54.0267,0.7383,0.8269,38.9019,44.6731,0.36565,0.8991,0.0238,0.3106,2.7530,348.4751,-27.3076,-26.6052,0.4719,0.4325,8.8736,8.2908,18.8056,19.1708,105.8512944,98.68084077,1996.517018,1893.890856,0.367523,0.4942,0.6746,8.8040,-0.4165,652.2593,-28.2194,-28.3826,0.3899,0.12673,9.28975,3.90481,23.82642,30.8109,86.05461037,27.47657172,2052.650431,845.7666117,0.366341,0.6051,0.3541024,4.6215481,191.90590,126.1574125,4049.16745,2739.657468,30.40000,7.60000,351.60000,87.90000,274.06481,68.51620,84.13907,21.03477,22432.77548,5608.19387,22817.96212,5704.49053,22071.51001,5517.877503,21686.32338,5421.580845,1.288932783,16.82243456,3102.5949678,132.9540,
B4,P,EcM,0.0000,1.0000,1.0000,5.0000,7.6620,4.9100,5.1500,1.4239,3.0694,4.0694,0.1090,0.9380,1.3150,2.1310,3.1310,9.3857,24.9249,608.7472,1465.1588,-4.7881,1727.8016,-31.1478,-32.4670,1.6535,2.2550,45.7163,48.7921,27.6489,21.6376,1.9246,2.6248,53.2138,56.7940,0.364848,0.9928,0.0889,1.1603,-4.3027,2226.3414,-29.0675,-29.7918,0.4644,0.5432,48.9258,54.3312,105.3532,100.0210,6.7096,7.8481,706.8798,784.9776,0.365026,1.1720,0.3416,4.4582,-2.3624,1753.0843,-28.8203,-29.5402,1.1604,0.8504,46.0683,48.6077,39.7008,57.1566,1.0268,0.7525,40.7659,43.0130,0.365637,1.0049,0.0260,0.3387,-4.4986,558.9174,-29.7979,-28.7736,0.7972,2.2123,45.1308,43.8307,56.6139,19.8124,0.6694,1.8576,37.8960,36.8044,0.364851,0.5711,0.0207,0.2697,1.5156,308.2223,-28.0442,-28.1871,0.4908,0.6537,9.3497,15.4312,19.0514,23.6064,72.79033117,97.93780216,1379.391311,2307.274325,0.367069,0.4795,0.5941,7.7544,-0.8354,471.3430,-28.8212,-28.9675,0.2736,0.28832,7.90681,9.89148,28.89693,34.3071,52.61001723,54.99975725,1518.964754,1888.649312,0.366187,0.5391,0.5132189,6.6982474,125.40035,152.9375594,2898.35607,4195.923637,116.40000,29.10000,1444.80000,361.20000,88.49015,22.12254,83.96931,20.99233,14832.16464,3708.04116,14982.30081,3745.575203,19227.40195,4806.850488,19077.26578,4769.316445,1.584459955,20.67949101,5117.5125875,166.0207,
B4,C,ErM,1.0000,0.0000,0.0000,98.0000,0.0750,5.0800,4.8900,0.7009,0.6919,1.6919,0.0150,0.0420,0.6860,0.6500,1.6500,8.1786,10.0319,438.2875,805.0693,-5.0422,463.1358,-31.0677,-31.4703,0.6452,0.9720,47.3551,49.7490,73.4014,51.1817,3.4477,5.1944,253.0658,265.8589,0.364755,0.5354,0.0023,3.0266,-6.1645,98.0657,-31.1909,-30.4880,0.3851,0.3626,48.9636,52.4346,127.1510,144.5876,6.5510,6.1694,832.9681,892.0168,0.364344,0.4026,0.0006,0.8058,-2.3078,1425.3048,-30.2167,-29.3942,0.5172,0.6604,45.2010,47.2187,87.3974,71.5028,1.0418,1.3302,91.0468,95.1111,0.365657,0.8862,0.0018,2.3640,-1.4031,158.2848,-30.7693,-29.4238,0.5636,0.6987,46.8982,47.1541,83.2047,67.4858,0.1831,0.2270,15.2365,15.3197,0.365989,0.4247,0.0000,0.0455,5.5642,170.5389,-27.0675,-27.0601,0.3868,0.5240,7.3658,10.8218,19.0411,20.6506,158.0903712,186.9101618,3024.16696,3852.052796,0.368555,0.4292,0.0290,38.6951,1.7378,349.1097,-28.5645,-28.1825,0.1092,0.27694,3.96181,10.13083,36.26899,36.5815,29.05871193,88.06305815,1064.129339,3212.123103,0.36713,0.4945,0.0287220,38.2959420,187.14908,274.97322,4088.29630,7064.175899,534.40000,133.60000,1701.20000,425.30000,201.42650,50.35662,32.48850,8.12213,40867.12108,10216.78027,35667.15552,8916.78888,26603.23348,6650.80837,31803.19904,7950.79976,0.062424745,83.23299389,8332.4822415,287.8942,
B4,NF,ErM,1.0000,1.0000,0.0000,5.0000,7.6620,4.4500,4.8700,0.8923,1.5644,2.5644,-0.0080,0.0580,0.9000,1.5070,2.5070,8.6358,10.3066,512.6494,1008.5917,-5.5027,762.3250,-30.8767,-31.6656,0.6768,0.9913,47.8097,48.5969,70.6438,49.0233,2.4634,3.6083,174.0272,176.8927,0.364586,0.6440,0.0544,0.7097,-6.0259,520.0292,-30.4599,-30.1005,0.2825,0.3495,47.9543,51.9202,169.7320,148.5528,3.1044,3.8404,526.9221,570.4987,0.364394,0.5561,0.0397,0.5182,-2.8332,2414.7338,-29.8501,-28.9165,0.6374,0.7158,45.7153,50.3848,71.7170,70.3887,1.1651,1.3083,83.5556,92.0900,0.365463,1.2436,0.0620,0.8089,-4.1192,1438.0278,-29.0908,-29.2962,0.2826,0.5200,47.3053,50.9321,167.4082,97.9404,0.1193,0.2196,19.9764,21.5080,0.364991,0.8908,0.0062,0.0813,4.6769,272.8572,-27.1291,-26.8767,0.2396,0.3878,4.5907,7.5997,19.1572,19.5962,95.72788473,144.0922455,1837.540769,2823.735407,0.368229,0.4666,0.7649,9.9828,0.8920,467.0176,-27.7830,-28.6419,0.0681,0.08674,2.15907,2.78276,31.72105,32.0798,32.63628281,43.99534969,1054.948901,1420.841743,0.36682,0.5376,0.4055181,5.2925963,128.36417,188.0875952,2892.48967,4244.57715,364.00000,91.00000,1098.80000,274.70000,182.77354,45.69338,42.22869,10.55717,39946.53845,9986.63461,37154.41325,9288.603313,47952.22277,11988.05569,50744.34796,12686.08699,1.332684028,17.39345149,5105.5664985,197.0642,
B4,P,ErM,1.0000,1.0000,1.0000,5.0000,7.6620,4.9100,4.9800,0.3668,1.2072,2.2072,0.0430,0.2740,0.3240,0.9330,1.9330,4.5924,10.8318,168.2951,710.5155,-6.1096,1977.6338,-30.5697,-31.7484,0.7426,1.1289,48.2421,49.2868,64.9621,43.6603,4.8627,7.3919,315.8894,322.7302,0.364364,1.0827,0.2863,3.7373,-5.5695,1596.0926,-30.0224,-29.3829,0.2996,0.4384,46.2143,51.6205,154.2337,117.7436,3.5034,5.1259,540.3379,603.5464,0.364562,0.9454,0.1606,2.0956,-3.2463,2599.0217,-29.4752,-29.1472,0.6387,0.8684,48.1020,51.0966,75.3074,58.8402,1.1272,1.5325,84.8861,90.1708,0.365311,1.3099,0.0781,1.0191,-2.7905,1580.5677,-28.6856,-29.1503,0.3682,0.5374,46.8673,49.3789,127.2786,91.8820,0.4936,0.7204,62.8254,66.1922,0.365479,0.9425,0.0224,0.2926,4.6977,427.4500,-27.0152,-27.2066,0.2512,0.3046,4.7375,7.2834,18.8631,23.9082,124.5691404,148.2869818,2331.176427,3553.357954,0.368237,0.5230,1.2388,16.1677,1.0965,585.8007,-27.6187,-28.5551,0.0520,0.10052,1.61507,3.25579,31.07980,32.3903,30.12581153,59.18551324,927.4831336,1943.404912,0.366895,0.5809,0.6835754,8.9216458,154.69495,207.472495,3258.65956,5496.762866,654.80000,163.70000,1169.20000,292.30000,176.47100,44.11775,134.04956,33.51239,49599.49845,12399.87461,48676.13636,12169.03409,57967.69585,14491.92396,58891.05795,14722.76449,2.469765568,32.23400798,6579.4024577,222.2432,
